09-May-2025
70.7403
70.9952
9.5664
49.2111
21.9052
44.0791
22.9088
15.8053
20.489
24.2747
83.5247
49.3247
194.9281
52.1417
56.2353
70.5917
40.3016
.0000
25.6953
47.032
25.8066
39.0728
25.609
55.3983
25.7593
12.4434
22.8132
21.0106
10.1934
91.2195
70.1734
46.6986
48.6785
43.8047
34.7898
32.1797
19.6899
37.3383
25.9264
54.4982
