"09th May, 2025"
27.3147
45.8629
61.2488
92.5797
30.4706
100.0541
10.0028
106.0763
11.8436
10
10
41.6222
23.1883
18.4523
22.8493
118.6998
64.1876
38.1595
17.7309
86.1953
8.1775
8.3325
18.4261
97.3505
79.0808
57.8815
21.2762
24.2626
66.823
63.7081
10.9658
63.8133
20.3787
16.6772
45.8534
