09 May 2025
76.52 
57.92 
46.48 
107.96 
78.84 
76.52 
57.92 
46.48 
53.21 
107.96 
78.84 
76.52 
57.92 
46.48 
107.96 
22.78 
78.84 
76.52 
57.92 
46.48 
28.36 
19.84 
13.58 
107.96 
106.01 
12.36 
10.77 
8.55 
7.87 
8.86 
12.49 
78.84 
15.49 
16.69 
33.45 
76.52 
57.92 
46.48 
107.96 
22.78 
78.84 
33.45 
76.52 
44.89 
40.21 
70.05 
57.51 
76.52 
57.92 
46.48 
28.36 
19.84 
13.58 
107.96 
106.01 
12.36 
10.77 
8.55 
7.87 
8.86 
12.49 
78.84 
15.49 
16.69 
33.45 
76.52 
57.92 
46.48 
107.96 
76.52 
46.48 
28.36 
13.58 
107.96 
106.01 
12.36 
10.77 
8.55 
7.87 
8.86 
12.49 
78.84 
15.49 
16.69 
76.52 
57.92 
46.48 
53.21 
107.96 
106.01 
22.78 
78.84 
33.45 
76.52 
57.92 
46.48 
19.84 
107.96 
106.01 
78.84 
76.52 
46.48 
78.84 
76.52 
44.89 
40.21 
70.05 
57.51 
52.90 
44.89 
40.21 
70.05 
52.90 
57.92 
46.48 
28.36 
19.84 
13.58 
107.96 
106.01 
12.36 
10.77 
8.55 
7.87 
8.86 
78.84 
15.49 
16.69 
33.45 
76.52 
60.97 
46.48 
28.36 
19.84 
13.58 
107.96 
106.01 
12.36 
10.77 
7.87 
8.55 
8.86 
12.49 
78.84 
15.49 
16.69 
33.45 
76.52 
57.92 
46.48 
107.96 
76.52 
57.92 
46.48 
19.84 
107.96 
106.01 
10.77 
8.55 
7.87 
7.87 
8.86 
12.49 
78.84 
33.45 
107.96 
78.84 
76.52 
57.92 
46.48 
107.96 
22.78 
78.84 
33.45 
76.52 
46.48 
53.21 
76.52 
46.48 
106.01 
78.84 
76.52 
57.92 
46.48 
53.21 
107.96 
22.78 
78.84 
76.52 
57.92 
46.48 
28.36 
19.84 
13.58 
107.96 
106.01 
12.36 
10.77 
8.55 
7.87 
8.86 
12.49 
78.84 
15.49 
16.69 
33.45 
76.52 
57.92 
46.48 
53.21 
107.96 
22.78 
78.84 
76.52 
76.52 
57.92 
46.48 
107.96 
26.30 
32.69 
20.00 
76.52 
57.92 
46.48 
53.21 
107.96 
22.78 
78.84 
76.52 
57.92 
46.48 
107.96 
22.78 
78.84 
33.45 
76.52 
57.92 
46.48 
53.21 
107.96 
22.78 
78.84 
76.52 
16.30 
44.89 
40.21 
70.05 
57.51 
52.90 
35.53 
32.15 
107.96 
22.78 
76.52 
57.92 
46.48 
107.96 
76.52 
57.92 
46.48 
107.96 
22.78 
78.84 
76.52 
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
undefined as on Invalid Date
