"May 09, 2025"
85.8751
21.2505
77.0115
109.1283
179.6406
170.2696
39.9058
118.3000
51.0653
37.9193
47.3738
76.1389
50.0451
37.5548
47.6080
33.4882
10.0000
56.2452
143.3357
56.6420
41.7944
50.1987
39.6971
64.9132
26.5090
64.9941
46.3292
31.6482
25.9200
26.5764
59.4922
25.3355
57.7358
39.6557
32.1932
24.2412
30.8704
17.8630
17.3128
18.4328
12.6173
12.0749
14.1055
15.7558
9.9391
10.8027
10.0000
9.1348
