"May 09,2025"
34.9816
43.1556
59.7888
79.5568
99.9656
36.1806
28.3265
40.4616
52.8288
29.3272
29.7301
38.2709
50.6921
65.6128
45.1635
23.8467
14.7665
30.9141
16.7833
29.689
27.192
26.7704
17.4706
37.6578
13.8145
16.1112
14.416
14.1461
9.964
9.1482
9.3533
10.1869
14.3309
11.0842
10.0458
9.788
