"May 09, 2025"
47.2189
11.5827
19.7651
24.7210
23.5877
53.0879
42.4352
37.0447
31.1993
18.5529
37.6483
23.3022
10.2584
51.6945
24.7811
34.6697
-
-
38.9799
17.2017
17.9841
10.4209
50.8833
38.8882
30.2816
39.3439
17.4044
32.0013
44.9081
21.7172
27.8742
32.1050
27.6346
41.6663
50.3668
50.9196
24.4202
42.1447
37.4504
33.9257
56.4708
52.2562
40.7716
41.9861
15.4399
19.4504
14.1730
103.4137
85.4632
47.9762
52.1634
26.9941
25.5109
44.7343
58.4173
44.4603
51.6503
69.7422
24.1612
10.3239
42.0023
40.7557
24.1077
40.2841
41.4280
23.1888
128.7816
29.8582
39.1615
-
68.9332
127.8999
51.3280
62.4054
21.0828
56.3389
55.1266
15.6151
41.5420
49.3408
10.1707
87.5750
78.9301
47.5813
59.6969
38.6255
24.4916
48.3046
44.7112
43.1562
33.4395
