09-05-2025
131.0453
155.9236
85.5109
43.1939
34.333
34.8652
62.6753
84.1064
93.3462
143.0064
34.812
40.3485
62.8726
32.3753
42.0611
45.5767
69.0523
37.3197
31.9242
81.0381
45.928
37.0041
112.5294
102.9145
26.4903
91.1048
162.7208
46.7412
35.6253
33.8127
49.1807
73.3546
30.1179
68.3985
10
10
36.2708
29.4997
32.4065
24.9535
10
21.6723
58.4804
56.1075
16.9995
17.4403
15.3386
14.6518
16.583
11.7978
10.7727
8.8678
10.7891
9.6113
7.7117
8.583
200.3802
45.5946
35.0327
34.2398
38.7834
37.8555
10
10
23.4237
14.3319
11.9999
14.4072
